"Not \"wrong\", a Lie. And media rarely calls it for what it is."|Not  wrong   a Lie  And media rarely calls it for what it is|0.275
I just learned that Mike Pence's middle name is Charles.  So together they're DJ Trump and MC Pence.   wtf?|I just learned that Mike Pence s middle name is Charles   So together they re DJ Trump and MC Pence    wtf|-0.25
@GOP @realDonaldTrump It is funny that the GOP and Liz Peek of Fox News are so sure of the details when the Trump cabinet is confused as to the details.|It is funny that the GOP and Liz Peek of Fox News are so sure of the details when the Trump cabinet is confused as to the details|0.11666666666666665
Virtually everyone wants the Saudi Crown Prince held accountable for Jamal Khashogghi's murder except his faithful pet, Donald Trump.|Virtually everyone wants the Saudi Crown Prince held accountable for Jamal Khashogghi s murder except his faithful pet  Donald Trump|0.2
"Greta Van Susteren asked Trump about climate change. Talking nonsense as usual, he said the problem is that other countries have \"not-good air that comes over to the United States.\" He said of China's Xi: \"He's got to do something with his climate.\" https://t.co/1L3ennh0z8 https://t.co/W6XIRWVmDC"|Greta Van Susteren asked Trump about climate change  Talking nonsense as usual  he said the problem is that other countries have  not good air that comes over to the United States   He said of China s Xi   He s got to do something with his climate|-0.24166666666666667
Marvel presents The Colluders...  Trump: Tariff Man Pence: Captain Homophobe Melania: Birther Woman Cohen: The Flipper Manafort: Crime Bungler Sarah Sanders: False Hood Don Jr.: Kid Collusion Ivanka: Sweatshop Queen Eric: Brain-Drained Kellyanne: Miss Information|Marvel presents The Colluders     Trump  Tariff Man Pence  Captain Homophobe Melania  Birther Woman Cohen  The Flipper Manafort  Crime Bungler Sarah Sanders  False Hood Don Jr   Kid Collusion Ivanka  Sweatshop Queen Eric  Brain Drained Kellyanne  Miss Information|-0.4000000000000001
BREAKING:  DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS, the Trump Organization and many other organizations in their investigation against Donald Trump.    It looks like Trump's Tax Returns will be had!!   Give me a HELL YEAH!|BREAKING   DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS  the Trump Organization and many other organizations in their investigation against Donald Trump     It looks like Trump s Tax Returns will be had     Give me a HELL YEAH|0.1875
Somewhere on Martha’s Vineyard, Alan Dershowitz pens a thank-you note to buddy Jeffery Epstein, for keeping his name out of a public hearing about sexually abusing underage girls, before turning to his full time job of being a character witness for Trump. https://t.co/27WrVGKf38|Somewhere on Martha s Vineyard  Alan Dershowitz pens a thank you note to buddy Jeffery Epstein  for keeping his name out of a public hearing about sexually abusing underage girls  before turning to his full time job of being a character witness for Trump|0.2833333333333333
Anyone know where I can get the tickets to Trump's memorial service?  I need 5.  I want to get my seats early before the crowd of women he touched gets them all.   One can never be too early.  People keep looking at me crazy for asking, but I need to enjoy it in person.|Anyone know where I can get the tickets to Trump s memorial service   I need 5   I want to get my seats early before the crowd of women he touched gets them all    One can never be too early   People keep looking at me crazy for asking  but I need to enjoy it in person|1.3877787807814457E-17
@Dianne_Emerson @myauntmandy @DrDenaGrayson @SecretaryAcosta Melania did the same thing with the 19 Women who accused Trump . Me ? I say put them all in prison, sex crimes aren’t a political problem! #LickAWitch https://t.co/0Y9Qzbc3qx|Emerson       Melania did the same thing with the 19 Women who accused Trump   Me   I say put them all in prison  sex crimes aren t a political problem|0.0
#Winning yet again. No wonder the socialists are in high dudgeon! They have no platform, while Trump is saving America. Explains the witch hunt hysteria. https://t.co/YiQ8gChVUJ|yet again  No wonder the socialists are in high dudgeon  They have no platform  while Trump is saving America  Explains the witch hunt hysteria|0.16
